Row,Date,Gross domestic product,Personal consumption expenditures,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investment,Fixed investment,Nonresidential,Structures,Equipment,Intellectual property products,Residential,Change in private inventories,Net exports of goods and services,Exports,Goods,Services,Imports,Goods,Services,Government consumption expenditures and gross investment,Federal,National defense,Nondefense,State and local,Addenda:,Gross national product,Implicit price deflators:,Gross domestic product1,Gross national product
1,2020,1.6,1.3,-1.1,-1.5,-0.9,2.4,1.8,1.5,1.3,1.9,0.7,1.6,2.4,---,---,-2.1,-4.2,2.5,-1.1,-1.5,0.6,2.8,1.2,0.9,1.7,3.8,,1.6,,1.3,1.3
2,2020.25,-1.5,-1.6,-5.6,-2.9,-6.9,0.4,0.3,1.3,1.5,-0.6,0,4.3,0.9,---,---,-17.5,-21.9,-8.7,-11.9,-13.4,-4.1,-0.9,0.2,-1.3,2.2,-1.5,,-1.5,,-1.7,-1.7
3,2020.5,3.6,3.7,4.9,7.6,3.5,3.1,2.8,2.2,0.1,1,-1.7,1.6,9.3,---,---,13.4,16.2,8.5,8,8.7,4.5,2.4,3,3.6,2.2,2,,3.6,,3.7,3.7
4,2020.75,2.2,1.5,0.3,0.2,0.4,2.1,1.9,1.9,0.4,0.5,-2.2,3.2,6.5,---,---,6.2,6.9,4.7,2.2,1.8,4.9,3,2.5,2.5,2.5,3.3,,2.2,,1.9,2
5,2021,4.3,3.8,5.9,2.3,8,2.8,2.8,3.7,0.8,3.9,2.2,-2.3,12.4,---,---,21,26.7,9.2,13.3,14.9,4.6,5.4,4,4.4,3.3,6.3,,4.3,,4.3,4.3
6,2021.25,6.1,6.5,9.3,16.8,5,5,2.9,4.5,0.9,8.9,-3.2,1.5,15.3,---,---,19.4,25.1,7.2,13.4,14.2,9.2,6.1,4.1,4.3,3.9,7.3,,6.1,,6.2,6.2
7,2021.5,6,5.3,7.3,9.7,5.9,4.3,6.1,7,4.3,11.1,4.6,0.9,14.8,---,---,9.7,11.3,6.1,6.1,5.9,7,6.1,5,4.9,5.2,6.7,,6,,5.9,5.9
8,2021.75,7.1,6.4,10.2,10.8,9.8,4.4,8.8,8.9,7.8,24.4,6.9,1.6,11.9,---,---,6.4,7.1,4.6,5.6,5.9,4.1,7.6,5.7,5.5,5.8,8.9,,7.1,,7.1,7.1
9,2022,8.2,7.1,11.8,6.5,15,4.6,9.9,9.8,7,18.2,7.1,1.8,18.2,---,---,18,23,6.6,13.8,15.8,3.9,9.8,7.5,8.4,6.4,11.2,,8.2,,8.3,8.3
10,2022.5,8.9,7.1,10.2,1.4,15.5,5.5,9.5,9.9,8.1,16.1,8.5,4.1,15.3,---,---,20.1,26.6,5.5,13.2,13.5,11.7,12.4,7,8.5,5,15.7,,8.9,,9,9
